"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Gomes V.; Loche I.; Saade M.R.M.; Pulgrossi L.M.; Franceschini P.B.; Rodrigues L.L.; Pimenta R.G.; Neves L.O.; Kowaltowski D.C.C.K.","Gomes, Vanessa (24381682400); Loche, Iris (57214180232); Saade, Marcella R.M. (24401621500); Pulgrossi, Lizzie M. (57220184531); Franceschini, Paula B. (57214185768); Rodrigues, Ligia L. (58591565300); Pimenta, Rafaela G. (58284465800); Neves, Leticia O. (57202395857); Kowaltowski, Doris C.C.K. (35617224000)","24381682400; 57214180232; 24401621500; 57220184531; 57214185768; 58591565300; 58284465800; 57202395857; 35617224000","Operational and embodied impact assessment as retrofit decision-making support in a changing climate","2020","11th Windsor Conference: Resilient Comfort, WINDSOR 2020 - Proceedings","","","","936","948","12","4","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151544616&partnerID=40&md5=f542892e637cdb44de1618987f29c109","Conference paper","Final","","Scopus","2-s2.0-85151544616"
"Franco T.P.; Albuquerque C.Q.; Santos R.S.; Saint'Pierre T.D.; Araújo F.G.","Franco, Taynara P. (55315617900); Albuquerque, Cristiano Q. (7004686832); Santos, Rosa S. (57204916062); Saint'Pierre, Tatiana D. (6602901601); Araújo, Francisco G. (7101718409)","55315617900; 7004686832; 57204916062; 6602901601; 7101718409","Leave forever or return home? The case of the whitemouth croaker Micropogonias furnieri in coastal systems of southeastern Brazil indicated by otolith microchemistry","2019","Marine Environmental Research","144","","","28","35","7","16","10.1016/j.marenvres.2018.11.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057786474&doi=10.1016%2fj.marenvres.2018.11.015&partnerID=40&md5=86cb87c4606fae00d4f503ac62a1ddc1","Article","Final","","Scopus","2-s2.0-85057786474"
"Duarte da Silva Lima N.; de Alencar Nääs I.; Garcia R.G.; Jorge de Moura D.","Duarte da Silva Lima, Nilsa (37093481700); de Alencar Nääs, Irenilza (57211115618); Garcia, Rodrigo Garófallo (25027417600); Jorge de Moura, Daniella (22133963900)","37093481700; 57211115618; 25027417600; 22133963900","Environmental impact of Brazilian broiler production process: Evaluation using life cycle assessment","2019","Journal of Cleaner Production","237","","117752","","","","37","10.1016/j.jclepro.2019.117752","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070294150&doi=10.1016%2fj.jclepro.2019.117752&partnerID=40&md5=fd481e0f6265634fce02279db455c481","Article","Final","","Scopus","2-s2.0-85070294150"
"de Souza D.F.; da Silva P.P.F.; Fontenele L.F.A.; Barbosa G.D.; de Oliveira Jesus M.","de Souza, Danilo Ferreira (57208256275); da Silva, Pedro Paulo Fernandes (57214617461); Fontenele, Luiz Fernando Almeida (35762566800); Barbosa, Gunther Damaceno (57902474900); de Oliveira Jesus, Marcelo (57208257679)","57208256275; 57214617461; 35762566800; 57902474900; 57208257679","Efficiency, quality, and environmental impacts: A comparative study of residential artificial lighting","2019","Energy Reports","5","","","409","424","15","43","10.1016/j.egyr.2019.03.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064265902&doi=10.1016%2fj.egyr.2019.03.009&partnerID=40&md5=deb0e67df9ffff3ad3a04aa309184ed4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85064265902"
"da Silva A.I.F.; Cantanhede S.P.D.; Sousa J.O.; Lima R.M.; Silva-Souza N.; Carvalho-Neta R.N.F.; da Silva de Almeida Z.; Silva Santos D.M.; de Carvalho Neta A.V.; de Souza Serra I.M.R.; Tchaicka L.","da Silva, Andressa Isabela Ferreira (57218949691); Cantanhede, Selma Patrícia Diniz (57195374213); Sousa, Jessica Oliveira (57218793036); Lima, Renata Martins (57218795151); Silva-Souza, Nêuton (36174138900); Carvalho-Neta, Raimunda Nonata Fortes (57217147688); da Silva de Almeida, Zafira (57217151861); Silva Santos, Débora Martins (7102978799); de Carvalho Neta, Alcina Vieira (16306619800); de Souza Serra, Ilka Márcia Ribeiro (35614106400); Tchaicka, Lígia (15844233800)","57218949691; 57195374213; 57218793036; 57218795151; 36174138900; 57217147688; 57217151861; 7102978799; 16306619800; 35614106400; 15844233800","Community Perceptions on Schistosomiasis in Northeast Brazil","2020","American Journal of Tropical Medicine and Hygiene","103","3","","1111","1117","6","2","10.4269/ajtmh.18-0302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090268383&doi=10.4269%2fajtmh.18-0302&partnerID=40&md5=94cb45e9ebd6b4f5f7699720e95451da","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85090268383"
"Munaro M.R.; Fischer A.C.; Azevedo N.C.; Tavares S.F.","Munaro, M.R. (57198426886); Fischer, A.C. (57192941901); Azevedo, N.C. (57207962276); Tavares, S.F. (56367773100)","57198426886; 57192941901; 57207962276; 56367773100","Proposal of a building material passport and its application feasibility to the wood frame constructive system in Brazil","2019","IOP Conference Series: Earth and Environmental Science","225","1","012018","","","","48","10.1088/1755-1315/225/1/012018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063377763&doi=10.1088%2f1755-1315%2f225%2f1%2f012018&partnerID=40&md5=a6e8fc8b53bc5d978d748b9973338f98","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85063377763"
"Souza J.; Silva A.; de Brito J.; Bauer E.","Souza, Jéssica (55858498700); Silva, Ana (25959361900); de Brito, Jorge (7003285554); Bauer, Elton (7401519516)","55858498700; 25959361900; 7003285554; 7401519516","Analysis of the influencing factors of external wall ceramic claddings' service life using regression techniques","2018","Engineering Failure Analysis","83","","","141","155","14","22","10.1016/j.engfailanal.2017.10.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031719891&doi=10.1016%2fj.engfailanal.2017.10.005&partnerID=40&md5=dd2ea4d6e3354f9abe2971af0dcbe4b0","Article","Final","","Scopus","2-s2.0-85031719891"
"Romero D.E.; Santana D.; Borges P.; Marques A.; Castanheira D.; Rodrigues J.M.; Sabbadini L.","Romero, Dalia Elena (35939443500); Santana, Diego (57203889201); Borges, Paulo (56779697500); Marques, Aline (56428501400); Castanheira, Débora (57200305271); Rodrigues, Jéssica M. (57204924259); Sabbadini, Leticia (57203890500)","35939443500; 57203889201; 56779697500; 56428501400; 57200305271; 57204924259; 57203890500","Prevalence, associated factors, and limitations related to chronic back problems in adults and elderly in Brazil; [Prevalência, fatores associados e limitações relacionados ao problema crônico de coluna entre adultos e idosos no Brasil]","2018","Cadernos de Saude Publica","34","2","e00012817","","","","25","10.1590/0102-311X00012817","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053404720&doi=10.1590%2f0102-311X00012817&partnerID=40&md5=941b39ec10a8378a65fe72811d9980c8","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85053404720"
"Penteado C.S.G.; Rosado L.P.","Penteado, Carmenlucia Santos Giordano (56940476800); Rosado, Laís Peixoto (57191414045)","56940476800; 57191414045","Comparison of scenarios for the integrated management of construction and demolition waste by life cycle assessment: A case study in Brazil","2016","Waste Management and Research","34","10","","1026","1035","9","55","10.1177/0734242X16657605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989932021&doi=10.1177%2f0734242X16657605&partnerID=40&md5=f391c0c44393639a2a8262504779cc0a","Article","Final","","Scopus","2-s2.0-84989932021"
"Crippa J.; Boeing L.C.; Caparelli A.P.A.; da Costa M.R.M.M.; Scheer S.; Araujo A.M.F.; Bem D.","Crippa, Julianna (57204196139); Boeing, Letícia Cavassin (57204196155); Caparelli, Ana Paula Angonese (57204199657); da Costa, Marienne do Rocio de Mello Maron (56581368900); Scheer, Sergio (56262864400); Araujo, Aline Medeiros Ferreira (57204200121); Bem, Diogo (57204200393)","57204196139; 57204196155; 57204199657; 56581368900; 56262864400; 57204200121; 57204200393","A BIM–LCA integration technique to embodied carbon estimation applied on wall systems in Brazil","2018","Built Environment Project and Asset Management","8","5","","491","503","12","51","10.1108/BEPAM-10-2017-0093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054915504&doi=10.1108%2fBEPAM-10-2017-0093&partnerID=40&md5=13bfba60f98dbc7fff6c4f8d7c799403","Article","Final","","Scopus","2-s2.0-85054915504"
